"continent","who_region","country_region","iso3c","province_state","ts","cases","who_region_code","world_bank_income_group","world_bank_income_group_code","world_bank_income_group_gni_reference_year","world_bank_income_group_release_date"
"Globally",NA,"Globally","Globally","Confirmed",2020-01-21,282,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-01-22,314,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-01-23,581,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-01-24,846,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-01-25,1320,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-01-26,2014,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-01-27,2798,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-01-28,4593,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-01-29,6065,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-01-30,7818,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-01-31,9826,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-01,11953,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-02,14557,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-03,17391,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-04,20630,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-05,24554,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-06,28276,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-07,31481,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-08,34886,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-09,37558,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-10,40554,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-11,43103,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-12,45171,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-13,46997,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-14,49053,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-15,50580,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-16,51857,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-17,71429,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-18,73332,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-19,75204,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-20,75748,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-21,76769,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-22,77794,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-23,78811,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-24,79331,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-25,80239,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-26,81109,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-27,82294,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-28,83652,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-02-29,85403,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-01,87137,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-02,88948,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-03,90870,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-04,93091,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-05,95324,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-06,98192,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-07,101927,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-08,105586,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-09,109577,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-10,113702,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-11,118319,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-12,125048,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-13,132758,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-14,142539,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-15,153517,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-16,167515,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-17,179111,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-18,191127,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-19,209839,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-20,234073,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-21,266073,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-22,292142,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-23,332930,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-24,372755,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-25,413467,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-26,462684,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-27,509164,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-28,571659,NA,NA,NA,NA,NA
"Globally",NA,"Globally","Globally","Confirmed",2020-03-29,634813,NA,NA,NA,NA,NA
